"","stem","positive","negative","uncertainty","litigious"
"1","abandon",0,1,0,0
"2","abdic",0,1,0,0
"3","aberr",0,1,0,0
"4","abet",0,1,0,0
"5","abey",0,0,1,0
"6","abl",1,0,0,0
"7","abnorm",0,1,0,0
"8","abolish",0,1,0,0
"9","abovement",0,0,0,1
"10","abrog",0,1,0,1
"11","abrupt",0,1,0,0
"12","abruptli",0,1,0,0
"13","absenc",0,1,0,0
"14","absente",0,1,0,0
"15","absolv",0,0,0,1
"16","abund",1,0,0,0
"17","abus",0,1,0,0
"18","access",0,0,0,1
"19","accid",0,1,0,0
"20","accident",0,1,0,0
"21","acclaim",1,0,0,0
"22","accomplish",1,0,0,0
"23","accus",0,1,0,0
"24","achiev",1,0,0,0
"25","acquiesc",0,1,0,0
"26","acquire",0,0,0,1
"27","acquiror",0,0,0,1
"28","acquit",0,1,0,1
"29","acquitt",0,1,0,1
"30","addendum",0,0,0,1
"31","adequ",1,0,0,0
"32","adjourn",0,0,0,1
"33","adjud",0,0,0,1
"34","adjudg",0,0,0,1
"35","adjudicatori",0,0,0,1
"36","admiss",0,0,0,1
"37","admissibli",0,0,0,1
"38","adulter",0,1,0,0
"39","advanc",1,0,0,0
"40","advantag",1,0,0,0
"41","advers",0,1,0,0
"42","adversari",0,1,0,0
"43","affidavit",0,0,0,1
"44","affirm",0,0,0,1
"45","affreight",0,0,0,1
"46","aforedescrib",0,0,0,1
"47","aforement",0,0,0,1
"48","aforesaid",0,0,0,1
"49","aforest",0,0,0,1
"50","aftermath",0,1,0,0
"51","against",0,1,0,0
"52","aggrav",0,1,0,0
"53","aggriev",0,0,0,1
"54","alert",0,1,0,0
"55","alien",0,1,0,0
"56","alleg",0,1,0,1
"57","allegedli",0,1,0,1
"58","allianc",1,0,0,0
"59","almost",0,0,1,0
"60","alter",0,0,1,0
"61","ambigu",0,0,1,0
"62","amend",0,0,0,1
"63","amendatori",0,0,0,1
"64","annoi",0,1,0,0
"65","annoy",0,1,0,0
"66","annul",0,1,0,0
"67","anomal",0,1,1,0
"68","anomali",0,1,1,0
"69","anteced",0,0,0,1
"70","anticip",0,0,1,0
"71","anticompetit",0,1,0,0
"72","anticorrupt",0,0,0,1
"73","antitrust",0,1,0,1
"74","anywis",0,0,0,1
"75","appar",0,0,1,0
"76","appeal",0,0,0,1
"77","appear",0,0,1,0
"78","appel",0,0,0,1
"79","appelle",0,0,0,1
"80","appointor",0,0,0,1
"81","approxim",0,0,1,0
"82","appurten",0,0,0,1
"83","arbitr",0,0,0,1
"84","arbitrari",0,0,1,0
"85","arbitrarili",0,0,1,0
"86","argu",0,1,0,0
"87","argument",0,1,0,0
"88","arrear",0,1,0,0
"89","arrearag",0,1,0,1
"90","arrest",0,1,0,0
"91","artifici",0,1,0,0
"92","ascend",0,0,0,1
"93","assault",0,1,0,0
"94","assert",0,1,0,1
"95","assign",0,0,0,1
"96","assum",0,0,1,1
"97","assumpt",0,0,1,0
"98","assur",1,0,0,0
"99","attain",1,0,0,0
"100","attest",0,0,0,1
